#WordNet_offset	Geonames_ID	lat	lon
08852209	1252634	27.5	90.5
08987262	290030	25.2866667	51.5333333
09220046	5640304	46.1616535	-107.4486813
08905085	1275720	25.0166667	80.2833333
08839296	2080856	11.6166667	165.55
09108728	5640350	45.7832856	-108.5006904
09104474	4418478	30.3960318	-88.8853078
09124589	5109177	42.0986867	-75.9179738
08763932	2309792	3.5	8.7
09053947	4049979	33.5206608	-86.80249
08877613	2655603	52.4666667	-1.9166667
08982452	1679788	11	123.5
09020792	1528675	42.8730556	74.6002778
09129719	5688025	46.8083268	-100.7837392
08948027	2374775	11.85	-15.5833333
08878367	2655459	53.8166667	-3.05
09150284	4747827	36.7542798	-81.820401
08962951	931755	-15.7833333	35
08706502	2503769	36.4686111	2.8288889
09002325	1018724	-30.3166667	26.8
09085089	4254679	39.165325	-86.5263857
08874920	2655333	51.5222825708972	-0.122523307800293
09090389	894976	-16.6833333	30.8333333
09089139	6254925	38.2004177780005	-84.8776245117188
09226209	1816293	28.05	119.8
09252766	2947111	49.0669444	8.3527778
08789243	263441	38.3333333	23.25
08732979	3688689	4.6	-74.0833333
08758882	3078198	50	14.5
09081560	5586437	43.6135002	-116.2034505
08852843	3923057	-17	-65
08806458	3181928	44.4938114812334	11.3387489318848
08804662	3217397	45.9713889	13.3908333
08903872	1275339	19.0144100168904	72.8479385375977
08748917	3513881	12.2	-68.25
09226591	3863974	-27.85	-68.7833333
08772137	2946447	50.7333333	7.1
08934532	3031582	44.8333333	-0.5666667
08843215	1648148	1	114
08817630	3277605	44.25	17.8333333
08818135	3203633	44	18
09227219	745043	41.0572222	29.0433333
08852389	933860	-22	24
08843571	2099059	-6	155
09067721	5574991	40.0149856	-105.2705456
08941057	3030967	47	4.5
09121936	6337349	40.7302778	-73.9877778
09108586	5641727	45.6796526	-111.0385582
08985958	2742032	41.55	-8.4333333
09228144	1349796	23.9183333	90.7272222
08775597	2945358	52.4166667	12.55
08853741	3469034	-10	-55
08855308	3469058	-15.77972	-47.92972
08814333	683844	45.6486083838803	25.6061267852783
08759263	3060972	48.15	17.1166667
09148529	5234141	42.8509152	-72.5578678
08772551	2945024	52.2666667	10.5333333
09228619	5458782	36.7514028	-106.5614236
08734250	2260535	-4.2591667	15.2847222
08941208	6451880	47.6	7
08770013	2944388	53.075155679403	8.80777359008789
08770274	2944368	53.55	8.5833333
08804845	3181554	45.524782	10.227269
08984332	3081368	51.1	17.0333333
08934694	3030300	48.4	-4.4833333
09068921	5282804	41.1670412	-73.2048348
08755664	3374036	13.1	-59.6166667
08878533	2654710	50.8283849472495	-0.139474868774414
08807894	3181528	40.627731	17.936815
08832877	2174003	-27.4679357321901	153.028092384338
08878708	2654675	51.45	-2.5833333
08860123	6301961	53.593778354559	-1.8682336807251
08873622	2643743	51.5084152563931	-0.125532746315002
08948346	3381670	4	-53
08758334	3078610	49.1952226735148	16.6079592704773
09122086	4608719	35.6750692	-88.4667161
08983274	3102014	53.15	18
09119989	5110253	40.8273195113456	-73.9235687255859
09120087	5110302	40.6501038	-73.9495823
02907985	5221119	41.8262113	-71.3975559
09143321	4676740	25.9017472	-97.4974838
08851034	2800931	51.2097870885244	3.22500228881836
09093072	4959473	43.9145244	-69.9653278
09077266	2192867	-39.85	175.0166667
09042213	750269	40.1916667	29.0611111
09143549	4677008	30.6743643	-96.3699632
08814474	683506	44.4333333	26.1
02909543	2942510	50.2333333	7.1166667
09130076	5165418	40.2503398	-83.0001841
08952423	3054643	47.5	19.0833333
09118505	5110629	42.8864468	-78.8783689
09043411	430080	-2.9652778	29.1933333
08716517	425378	-3.3761111	29.36
09167652	894701	-20.15	28.5833333
08714132	732800	43	25
08714458	727011	42.6975135281805	23.324146270752
09148662	5234372	44.4758825	-73.212072
08715390	1327865	22	98
08716219	433561	-3.5	30
09108884	5642934	46.0038153	-112.5347447
08958535	273203	34.1211111	35.6480556
08800676	745044	41.0138429552247	28.9496612548828
08801099	745044	41.0138429552247	28.9496612548828
09060768	5332921	37.2502247	-119.7512643
09230500	3843796	-40.6333333	-71.65
09025451	2520600	36.5336111	-6.2994444
08795492	294716	32.5	34.8833333
09082988	4234985	37.0053293	-89.1764608
08804962	2525468	39	16.5
08934868	3029162	50.9581023419041	1.85205459594727
08903636	1275004	22.5697222	88.3697222
08891415	2638360	56	-4
08822546	5913490	51.050112282	-114.085285152
08733163	3687925	3.4372222	-76.5225
08981922	1720150	14.6533333	120.9833333
09028841	2520496	38.644696072546	0.0445032119750977
09231587	2653958	51.6966667	-2.3680556
08716738	1831722	13	105
08894456	2634895	52.5	-3.5
02942227	2653942	51.7333333	-2.3666667
09096664	4931972	42.375097	-71.1056079
08878016	2653942	51.7333333	-2.3666667
09113333	4501018	39.9259463	-75.1196199
08558289	4501028	39.9606735	-74.2148645
09173623	2233384	3.9	9.4666667
08717209	2233387	6	12
08805122	3181042	41	14.5
08740617	3531732	19.85	-90.5333333
08740483	3579600	16.4333333	-61.4333333
08798382	294117	33.0058333	35.0947222
08820121	6251999	60	-96
09231890	5518214	35.91282	-100.3820772
08827486	6094817	45.4209405046496	-75.6902861595154
08821578	6087430	46.500103925	-65.998782993
09041371	749780	40.1455556	26.4063889
08902753	1431997	33.1861111	74.175
09024972	2520308	28	-15.5
08740729	3531673	21.1742875657158	-86.846559047699
08935212	3028808	43.55	7.0166667
08883772	2653877	51.2790449973579	1.07992172241211
08725454	1809858	23.1166667	113.25
01290162	2523703	36.682339	15.134598
08704237	1138958	34.5166667	69.1833333
09053801	4076784	32.3668052	-86.2999689
09055786	5554072	58.3019444	-134.4197222
09058376	5308655	33.4483771	-112.0740373
09018030	616052	40.1811111	44.5136111
08848568	290340	26.2361111	50.5830556
08849226	1185241	23.7230556	90.4086111
09011518	625144	53.9	27.5666667
08852685	933773	-24.6463889	25.9119444
09064966	5389489	38.5815719	-121.4943996
08717510	2220957	3.8666667	11.5166667
08718094	3374333	14.9166667	-23.5166667
08720280	2427123	12.1130556	15.0491667
08721559	3871336	-33.4262838490987	-70.5665588378906
09068107	5419384	39.7391536	-104.9847034
09069190	4835797	41.7637111	-72.6850932
08750612	3553478	23.1319444	-82.3641667
08757132	146268	35.1666667	33.3666667
09070233	4142290	39.158168	-75.5243682
08762823	223817	11.595	43.1480556
08777233	3652462	-0.2166667	-78.5
09012530	588409	59.4369583424862	24.7535276412964
08780018	658225	60.1755556	24.9341667
09075170	4174715	30.4382559	-84.2807329
08932568	2988507	48.85341	2.3488
08945705	2399697	0.3833333	9.45
09019194	611717	41.725	44.7908333
08947617	2422465	9.5091667	-13.7122222
09078784	5856195	21.3069444	-157.8583333
08953596	3413829	64.146027916677	-21.9422721862793
09084483	4250542	39.8017171	-89.6437107
09085593	4259418	39.7683765	-86.1580423
08909719	1642911	-6.1744444	106.8294444
08911421	112931	35.6719444	51.4244444
08889191	2964574	53.3330556	-6.2488889
08794798	281184	31.779018386012	35.2253007888794
08806897	3169070	41.9	12.4833333
08754238	3489854	17.9970194353704	-76.7935752868652
08923348	1850147	35.6895265930799	139.691677093506
09088815	4280539	39.0483336	-95.6780371
09089631	4292188	38.2009055	-84.8732836
08928582	184745	-1.2833333	36.8166667
08929555	285787	29.3697222	47.9783333
08957064	1651944	17.9666667	102.6
09013353	456172	56.95	24.1
08959105	932505	-29.3166667	27.4833333
08959495	2274895	6.3105556	-10.8047222
08960099	2210247	32.8925	13.18
08960843	3042030	47.1415114854053	9.52154159545898
09014273	6296876	54.634133	25.285767
08961402	2960316	49.6116667	6.13
08963095	927967	-13.9833333	33.7833333
08963969	6697380	2.93527273603817	101.691116094589
08966647	2562305	35.8997222	14.5147222
09101318	4998830	42.732535	-84.5555347
09105003	4431410	32.2987573	-90.1848103
09014850	618426	47.0055556	28.8575
08969123	2028462	47.9166667	106.9166667
09109180	5656882	46.5927122	-112.036109
08970445	2538475	34.02	-6.83
08971554	1040652	-25.9652778	32.5891667
09109882	5072006	40.8000011	-96.6669599
08906809	1283240	27.7166667	85.3166667
09110784	5501344	39.1637984	-119.7674034
09111754	5084868	43.2081366	-71.5375718
09113022	5105496	40.2170534	-74.7429385
08973202	2179537	-41.2785361586459	174.776639342308
08739047	3617763	12.1508333	-86.2683333
08973647	2440485	13.5166667	2.1166667
09127844	4487042	35.772096	-78.6386145
08955397	1871859	39.0194444	125.7547222
08765069	3143244	59.9132457671591	10.7389211654663
09131001	4509177	39.9611755	-82.9987942
08975435	287286	23.6133333	58.5933333
09134202	5750162	44.9428975	-123.0350963
08977035	1176615	33.6100445736956	73.05908203125
09135733	5192726	40.2737002	-76.8844179
08979878	3936456	-12.05	-77.05
08983105	861353	52.25	21
08986066	2267057	38.7166667	-9.1333333
09137451	5224151	41.8239891	-71.4128343
08815346	202061	-1.9536111	30.0605556
08993871	108410	24.6408333	46.7727778
08996118	2253354	14.6951118854684	-17.4438858032227
08996714	241131	-4.6166667	55.45
08997132	2409306	8.49	-13.2341667
08997801	1880252	1.2930556	103.8558333
08998853	53654	2.03913722186582	45.3419172763824
09000272	964137	-25.7069444	28.2294444
09138358	4575352	34.0007104	-81.0348144
09139508	5767918	44.3683156	-100.3509665
08955951	1835848	37.5663889	126.9997222
09024467	3117735	40.4165020941502	-3.70256423950195
08719465	1248991	6.9319444	79.8477778
09030210	379252	15.5880556	32.5341667
